iter	Passed	Remaining
635	6121	3503
636	6128	3492
637	6137	3482
638	6145	3471
639	6155	3462
640	6163	3452
641	6171	3441
642	6179	3431
643	6187	3420
644	6194	3409
645	6202	3399
646	6210	3388
647	6218	3378
648	6225	3367
649	6234	3357
650	6242	3346
651	6251	3336
652	6258	3325
653	6269	3316
654	6277	3306
655	6285	3295
656	6293	3285
657	6300	3274
658	6308	3264
659	6316	3253
660	6324	3243
661	6331	3232
662	6339	3222
663	6347	3211
664	6354	3201
665	6364	3191
666	6372	3181
667	6380	3171
668	6388	3160
669	6396	3150
670	6407	3141
671	6415	3131
672	6424	3121
673	6431	3110
674	6440	3101
675	6448	3090
676	6458	3081
677	6465	3070
678	6475	3061
679	6483	3050
680	6491	3040
681	6499	3030
682	6508	3020
683	6515	3010
684	6524	3000
685	6531	2989
686	6539	2979
687	6548	2969
688	6556	2959
689	6564	2949
690	6574	2940
691	6582	2929
692	6590	2919
693	6598	2909
694	6606	2899
695	6614	2889
696	6622	2878
697	6629	2868
698	6637	2858
699	6644	2847
700	6654	2838
701	6661	2827
702	6670	2817
703	6677	2807
704	6687	2798
705	6696	2788
706	6703	2778
707	6711	2767
708	6718	2757
709	6725	2747
710	6733	2737
711	6741	2726
712	6750	2717
713	6758	2707
714	6766	2697
715	6774	2687
716	6784	2678
717	6793	2668
718	6801	2658
719	6812	2649
720	6820	2639
721	6828	2629
722	6836	2619
723	6845	2609
724	6853	2599
725	6862	2590
726	6869	2579
727	6879	2570
728	6886	2559
729	6897	2550
730	6904	2540
731	6912	2530
732	6919	2520
733	6928	2510
734	6935	2500
735	6944	2490
736	6952	2480
737	6960	2470
738	6968	2460
739	6976	2451
740	6984	2441
741	6994	2432
742	7003	2422
743	7011	2412
744	7020	2402
745	7028	2393
746	7038	2383
747	7045	2373
748	7054	2364
749	7062	2354
750	7071	2344
751	7078	2334
752	7088	2325
753	7095	2314
754	7106	2305
755	7114	2296
756	7122	2286
757	7130	2276
758	7138	2266
759	7146	2256
760	7153	2246
761	7161	2236
762	7169	2227
763	7178	2217
764	7186	2207
765	7193	2197
766	7203	2188
767	7215	2179
768	7223	2169
769	7232	2160
770	7240	2150
771	7249	2140
772	7256	2130
773	7265	2121
774	7272	2111
775	7281	2101
776	7289	2091
777	7298	2082
778	7305	2072
779	7316	2063
780	7324	2053
781	7331	2043
782	7339	2034
783	7348	2024
784	7355	2014
785	7363	2004
786	7370	1994
787	7379	1985
788	7386	1975
789	7394	1965
790	7402	1955
791	7413	1946
792	7421	1937
793	7428	1927
794	7437	1917
795	7445	1908
796	7453	1898
797	7460	1888
798	7468	1878
799	7476	1869
800	7484	1859
801	7492	1849
802	7500	1839
803	7508	1830
804	7515	1820
805	7526	1811
806	7535	1802
807	7543	1792
808	7552	1783
809	7559	1773
810	7569	1763
811	7576	1754
812	7585	1744
813	7593	1735
814	7604	1726
815	7615	1717
816	7624	1707
817	7633	1698
818	7641	1688
819	7650	1679
820	7658	1669
821	7667	1660
822	7674	1650
823	7684	1641
824	7691	1631
825	7700	1622
826	7708	1612
827	7719	1603
828	7727	1594
829	7735	1584
830	7743	1574
831	7751	1565
832	7758	1555
833	7767	1546
834	7775	1536
835	7782	1526
836	7790	1517
837	7798	1507
838	7805	1497
839	7814	1488
840	7821	1478
841	7832	1469
842	7840	1460
843	7848	1450
844	7856	1441
845	7863	1431
846	7871	1421
847	7879	1412
848	7886	1402
849	7894	1393
850	7902	1383
851	7910	1374
852	7918	1364
853	7929	1355
854	7938	1346
855	7946	1336
856	7956	1327
857	7964	1318
858	7973	1308
859	7980	1299
860	7989	1289
861	8004	1281
862	8012	1271
863	8021	1262
864	8028	1253
865	8039	1244
866	8047	1234
867	8055	1225
868	8063	1215
869	8071	1206
870	8078	1196
871	8087	1187
872	8095	1177
873	8104	1168
874	8112	1158
875	8120	1149
876	8127	1139
877	8138	1130
878	8147	1121
879	8154	1112
880	8163	1102
881	8171	1093
882	8180	1083
883	8187	1074
884	8197	1065
885	8205	1055
886	8214	1046
887	8222	1037
888	8233	1027
889	8240	1018
890	8251	1009
891	8259	1000
892	8268	990
893	8277	981
894	8285	972
895	8294	962
896	8301	953
897	8310	944
898	8318	934
899	8327	925
900	8334	915
901	8345	906
902	8352	897
903	8361	887
904	8368	878
905	8379	869
906	8388	860
907	8395	850
908	8403	841
909	8410	831
910	8418	822
911	8426	813
912	8434	803
913	8444	794
914	8453	785
915	8461	775
916	8470	766
917	8477	757
918	8486	748
919	8494	738
920	8503	729
921	8512	720
922	8521	710
923	8528	701
924	8537	692
925	8544	682
926	8555	673
927	8562	664
928	8571	655
929	8578	645
930	8587	636
931	8594	627
932	8603	617
933	8610	608
934	8619	599
935	8627	589
936	8635	580
937	8643	571
938	8653	562
939	8661	552
940	8669	543
941	8676	534
942	8684	524
943	8693	515
944	8701	506
945	8708	497
946	8716	487
947	8724	478
948	8732	469
949	8740	460
950	8749	450
951	8756	441
952	8768	432
953	8779	423
954	8786	414
955	8795	404
956	8802	395
957	8811	386
958	8818	377
959	8828	367
960	8835	358
961	8844	349
962	8852	340
963	8862	330
964	8871	321
965	8878	312
966	8886	303
967	8894	294
968	8903	284
969	8911	275
970	8919	266
971	8927	257
972	8935	247
973	8943	238
974	8950	229
975	8958	220
976	8966	211
977	8977	201
978	8985	192
979	8993	183
980	9002	174
981	9009	165
982	9018	155
983	9026	146
984	9035	137
985	9042	128
986	9052	119
987	9059	110
988	9068	100
989	9077	91
990	9086	82
991	9093	73
992	9102	64
993	9109	54
994	9118	45
995	9126	36
996	9135	27
997	9143	18
998	9151	9
999	9165	0
